ID,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Size,Zeta,Target
2368,Ag,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,600.0,MTT,TetrazoliumSalt,29.57,-33.33,4.9767
2085,Ag,I,Wire,,Commercial,Negative,J774A.1,10000.0,A,Mouse,Ascites,Macrophage,Adult,L,24,10.0,MTS,TetrazoliumSalt,30.0,-4.23,78.322
2335,C60,C,Sphere,,Commercial,Negative,mDF,10000.0,A,Mouse,Skin,Fibroblast,Adult,P,48,10.0,MTT,TetrazoliumSalt,34.64,-37.4,71.594
2128,MgO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,5.0,MTT,TetrazoliumSalt,39.2,11.6,87.213
468,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,3,100.0,MTS,TetrazoliumSalt,25.0,-9.96,116.62
1619,MWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,50.0,MTS,TetrazoliumSalt,25.0,-10.3,101.21
2141,Pt,I,Sphere,FA,Chemical Reduction,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,12.5,-40.5,54.831
175,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,48,125.0,MTT,TetrazoliumSalt,475.2,71.3,99.594
2269,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,5000.0,MTT,TetrazoliumSalt,230.0,32.0,95.641
2,Dendrimer,O,Sphere,,Commercial,Positive,hNPC,100000.0,H,Human,Brain,Neuronal,Embryonic,P,72,100.0,MTT,TetrazoliumSalt,8.1,7.6,9.2469
1072,ZnO,I,Sphere,,Commercial,Positive,THP-1,1000000.0,H,Human,Blood,Monocyte,Adult,L,24,20.0,MTT,TetrazoliumSalt,94.5,17.5,45.652
60,SWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTS,TetrazoliumSalt,1.5,-8.1,61.078
2502,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,200.0,NRU,NeutralRed,10.9,-45.4,108.44
2020,CeO2,I,Cubic,,Commercial,Negative,HT-1080,30000.0,H,Human,Connective Tissue,Epithelial,Adult,L,24,200.0,NRU,NeutralRed,25.0,-13.0,111.06
1047,Au,I,Rod,,EBPVD,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,P,24,4.0,MTS,TetrazoliumSalt,65.0,-23.3,89.111
1921,Polystyrene,O,Sphere,NH2,Commercial,Positive,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,50.0,36.6,0.0
1853,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,5000.0,MTT,TetrazoliumSalt,105.0,-24.0,103.33
309,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,50.0,MTS,TetrazoliumSalt,8.0,-6.96,99.401
680,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,5000.0,MTT,TetrazoliumSalt,230.0,32.0,88.02
1953,SiO2,I,Sphere,NH2,Precipitation,Positive,PC12,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,L,12,1.95,MTT,TetrazoliumSalt,437.0,21.7,120.0
23,Graphite,C,Sphere,,Explosion,Positive,U87,10000.0,H,Human,Brain,Epithelial,Adult,L,24,20.0,MTT,TetrazoliumSalt,4.0,31.4,75.309
2075,Ag,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,800.0,AlamarBlue,AlamarBlue,29.57,-33.33,3.7931
1016,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,6,100.0,MTS,TetrazoliumSalt,25.0,-9.96,116.11
1385,Au,I,Sphere,CyA,Chemical Reduction,Positive,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,15.0,MTT,TetrazoliumSalt,6.5,88.0,75.567
457,Diamond,C,Sphere,,Explosion,Negative,C3A,30000.0,H,Human,Liver,Epithelial,Adult,L,2,50.0,MTT,TetrazoliumSalt,4.0,-35.6,118.48
2361,Ag,I,Sphere,Citrate-Oligonucleotide,Chemical Reduction,Negative,HDF,3000.0,H,Human,Skin,Fibroblast,Adult,L,24,100.0,MTS,TetrazoliumSalt,50.0,-30.0,79.795
2521,Polystyrene,O,Sphere,COOH,Commercial,Negative,Macrophages,200000.0,H,Human,Lung,Macrophage,Adult,P,24,100.0,MTT,TetrazoliumSalt,50.0,-46.7,96.998
1329,MgO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,100.0,MTT,TetrazoliumSalt,39.2,11.6,62.623
296,TiO2,I,Sphere,,Commercial,Negative,A549,30000.0,H,Human,Lung,Epithelial,Adult,L,48,60.0,MTT,TetrazoliumSalt,81.8,-8.6,37.61
1769,IronOxide,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,100.0,MTT,TetrazoliumSalt,46.8,1.7,92.787
429,Dendrimer,O,Sphere,,Commercial,Positive,hNPC,100000.0,H,Human,Brain,Neuronal,Embryonic,P,24,100.0,MTT,TetrazoliumSalt,8.1,7.6,5.5814
1038,MgO,I,Hexagon,,Sol-Gel Method,Negative,3T3-L1,100000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,800.0,MTT,TetrazoliumSalt,43.8,-7.21,43.85
1288,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,50.0,NRU,NeutralRed,10.0,-31.8,111.02
613,MWCNT,C,Nanotube,,Commercial,Negative,NR8383,500000.0,A,Rat,Lung,Macrophage,Adult,L,4,50.0,MTT,TetrazoliumSalt,217.2,-13.005,41.765
2156,Au,I,Sphere,Citrate,Commercial,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,P,24,20.0,MTS,TetrazoliumSalt,61.06,-32.7,70.163
1133,ZnO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,12,0.01,MTT,TetrazoliumSalt,45.3,32.7,97.368
701,C60,C,Sphere,,Commercial,Negative,hPDLF,10000.0,H,Human,Teeth,Fibroblast,Adult,P,24,1.0,MTT,TetrazoliumSalt,34.64,-37.4,50.776
2178,Polystyrene,O,Sphere,COOH,Commercial,Negative,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,500.0,-38.5,86.93
681,Au,I,Star,,Chemical Reduction,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,L,24,2.0,MTS,TetrazoliumSalt,33.69,-24.52,131.59
2210,SiO2,I,Sphere,NH2,Precipitation,Positive,PC12,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.95,MTT,TetrazoliumSalt,437.0,21.7,104.15
2006,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,50.0,NRU,NeutralRed,10.0,-31.8,105.53
1492,Dendrimer,O,Sphere,NH2,Commercial,Positive,hNPC,100000.0,H,Human,Brain,Neuronal,Embryonic,P,24,5.0,MTT,TetrazoliumSalt,3.6,5.8,102.33
2528,IronOxide,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,0.01,MTT,TetrazoliumSalt,46.8,1.7,100.66
1627,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,100.0,MTT,TetrazoliumSalt,10.0,-31.8,98.267
1468,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,24,500.0,MTT,TetrazoliumSalt,458.9,72.1,109.26
1134,Pt,I,Sphere,FA,Chemical Reduction,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,CellTiterGlo,LuciferaseEnzyme,12.5,-40.5,58.454
2029,Polystyrene,O,Sphere,NH2,Commercial,Positive,Macrophages,200000.0,H,Human,Lung,Macrophage,Adult,P,24,100.0,MTT,TetrazoliumSalt,100.0,63.8,45.407
1715,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,3,80.0,MTS,TetrazoliumSalt,25.0,-9.96,121.74
1444,CuO,I,Sphere,,Precipitation,Negative,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,24,2.0,MTT,TetrazoliumSalt,22.83,-20.36,83.404
1553,Graphite,C,Sphere,,Explosion,Positive,U87,10000.0,H,Human,Brain,Epithelial,Adult,L,2,50.0,MTT,TetrazoliumSalt,4.0,31.4,78.288
2459,SiO2,I,Sphere,,Sol-Gel Method,Negative,HepG2,50000.0,H,Human,Liver,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,199.89,-36.3,58.151
101,Polystyrene,O,Sphere,NH2,Commercial,Positive,AT2,100000.0,H,Human,Lung,Epithelial,Adult,P,24,10.0,MTT,TetrazoliumSalt,100.0,63.8,94.567
1504,Ag,I,Sphere,,Commercial,Negative,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,65.0,-30.0,67.563
761,Chitosan,O,Sphere,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,24,750.0,MTT,TetrazoliumSalt,164.0,63.2,110.54
916,Pt,I,Sphere,Citrate,Commercial,Negative,HepG2,30000.0,H,Human,Liver,Epithelial,Adult,L,24,25.0,MTS,TetrazoliumSalt,68.3,-40.6,94.475
1008,Au,I,Sphere,,Commercial,Negative,RFPEC,5000.0,A,Rat,FatPad,Endothelial,Adult,L,96,0.2,MTS,TetrazoliumSalt,61.46,-32.66,120.0
13,SiO2,I,Sphere,,Sol-Gel Method,Negative,HepG2,50000.0,H,Human,Liver,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,59.72,-38.1,66.423
1487,Pt,I,Sphere,PVP,Chemical Reduction,Negative,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,200.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,78.972
2172,SiO2,I,Sphere,,Sol-Gel Method,Negative,HepG2,50000.0,H,Human,Liver,Epithelial,Adult,L,72,500.0,MTT,TetrazoliumSalt,199.89,-36.3,51.034
158,TiO2,I,Sphere,,Commercial,Negative,Caco-2,30000.0,H,Human,Colon,Epithelial,Adult,L,48,10.0,MTT,TetrazoliumSalt,15.84,-43.29,60.52
1381,Au,I,Sphere,Citrate,Commercial,Negative,NR8383,12000.0,A,Rat,Lung,Macrophage,Adult,L,24,0.131,WST-1,TetrazoliumSalt,13.0,-60.7,82.37
1173,SiO2,I,Sphere,,Commercial,Negative,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,25.0,MTT,TetrazoliumSalt,14.23,-25.0,79.342
1838,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,MTT,TetrazoliumSalt,21.06,-24.5,50.0
939,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,20.0,NRU,NeutralRed,29.57,-33.33,45.062
2203,MgO,I,Rod,,Sol-Gel Method,Negative,3T3-L1,100000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,600.0,MTT,TetrazoliumSalt,12.0,-9.83,38.93
949,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,250.0,MTT,TetrazoliumSalt,29.57,-33.33,11.236
2189,IronOxide,I,Sphere,,Pyrolysis,Negative,A549,100000.0,H,Human,Lung,Epithelial,Adult,L,24,0.5,MTT,TetrazoliumSalt,6.0,-36.5,97.447
823,Ag,I,Sphere,,Chemical Reduction,Negative,THP-1,10000.0,H,Human,Blood,Monocyte,Adult,L,24,5.0,AlamarBlue,AlamarBlue,14.3,-26.5,44.167
1191,SiO2,I,Sphere,,Commercial,Negative,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,1.0,NRU,NeutralRed,14.23,-25.0,96.708
2293,Polystyrene,O,Sphere,COOH,Commercial,Negative,Macrophages,200000.0,H,Human,Lung,Macrophage,Adult,P,24,100.0,MTT,TetrazoliumSalt,100.0,-44.3,95.321
816,IronOxide,I,Sphere,Silica-FA,Solvothermal Process,Negative,SKOV-3,100000.0,H,Human,Ovary,Epithelial,Adult,L,48,50.0,MTT,TetrazoliumSalt,274.1,-27.7,85.786
1448,Pt,I,Sphere,PVP,Chemical Reduction,Negative,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,200.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,65.187
1994,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,24,31.25,MTT,TetrazoliumSalt,475.2,71.3,100.81
926,MWCNT,C,Nanotube,,Commercial,Negative,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,8.0,CCK-8,TetrazoliumSalt,38.8,-25.1,98.738
2058,SWCNT,C,Nanotube,,Commercial,Positive,mDF,10000.0,A,Mouse,Skin,Fibroblast,Adult,P,48,0.1,MTT,TetrazoliumSalt,9.0,12.9,61.159
1452,ZnO,I,Sphere,,Commercial,Negative,HEK,10000.0,H,Human,Skin,Keratinocyte,Adult,P,12,0.8,MTT,TetrazoliumSalt,245.0,-15.8,98.101
2442,Graphite,C,Sphere,,Explosion,Positive,U87,10000.0,H,Human,Brain,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,4.0,31.4,68.724
1598,IronOxide,I,Sphere,Dextran,Co-precipitation,Negative,Monocytes,150000.0,H,Human,Blood,Monocyte,Adult,P,48,10.0,CCK-8,TetrazoliumSalt,7.5,-11.0,184.82
519,Ag,I,Sphere,Citrate-Oligonucleotide,Chemical Reduction,Negative,HDF,3000.0,H,Human,Skin,Fibroblast,Adult,L,48,50.0,MTS,TetrazoliumSalt,50.0,-30.0,70.324
1060,Ag,I,Irregular,PVP,Commercial,Negative,NR8383,12000.0,A,Rat,Lung,Macrophage,Adult,L,24,1.0,WST-1,TetrazoliumSalt,20.0,-17.1,98.967
1298,MWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,100.0,MTS,TetrazoliumSalt,50.0,-11.0,91.818
1635,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,500.0,MTT,TetrazoliumSalt,100.33,-31.7,17.234
456,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,10.0,NRU,NeutralRed,100.0,-8.23,101.97
1236,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,72,1000.0,MTT,TetrazoliumSalt,475.2,71.3,118.66
1502,CuO,I,Sphere,,Commercial,Negative,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,5.0,CCK-8,TetrazoliumSalt,30.0,-29.1,97.86
1375,IronOxide,I,Sphere,Chitosan,Pyrolysis,Positive,HEK293,100000.0,H,Human,Kidney,Epithelial,Embryonic,L,24,4.0,MTT,TetrazoliumSalt,8.0,11.0,95.988
2467,SiO2,I,Sphere,,Commercial,Negative,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,200.0,MTT,TetrazoliumSalt,14.23,-25.0,55.263
352,CeO2,I,Cubic,,Commercial,Negative,MCF-7,30000.0,H,Human,Breast,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,25.0,-13.0,106.02
2525,TiO2,I,Sphere,,Ball Mill-Aided Precipitation,Negative,NIH3T3,10000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,MTT,TetrazoliumSalt,50.0,-22.0,83.724
1554,CeO2,I,Cubic,,Commercial,Negative,HT-1080,30000.0,H,Human,Connective Tissue,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,25.0,-13.0,98.997
1439,Ag,I,Sphere,CYS,Chemical Reduction,Negative,L929,5000.0,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,L,24,50.0,MTT,TetrazoliumSalt,8.0,-56.9,41.799
1644,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,500.0,MTT,TetrazoliumSalt,230.0,-5.0,94.286
2458,Ag,I,Sphere,,Commercial,Negative,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,65.0,-30.0,81.345
1240,C70,C,Sphere,Dextran,Commercial,Negative,L929,10000.0,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,L,24,80.0,MTT,TetrazoliumSalt,15.0,-20.7,85.68
151,CeO2,I,Cubic,,Commercial,Negative,MCF-7,30000.0,H,Human,Breast,Epithelial,Adult,L,24,50.0,NRU,NeutralRed,25.0,-13.0,104.05
1588,SiO2,I,Sphere,,Commercial,Negative,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,72,50.0,MTT,TetrazoliumSalt,15.0,-25.0,74.018
1327,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,200.0,MTT,TetrazoliumSalt,199.89,-36.3,24.878
724,SiO2,I,Sphere,DPPC,Sol-Gel Method,Negative,16HBE,40000.0,H,Human,RespiratoryTract,Epithelial,Adult,P,24,128.0,CCK-8,TetrazoliumSalt,19.4,-13.5,92.364
1527,SLN,O,Sphere,CTAB,Multiple Emulsion Method,Positive,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,165.0,AlamarBlue,AlamarBlue,135.1,28.2,3.3841
702,IronOxide,I,Sphere,,Pyrolysis,Negative,HeLa,100000.0,H,Human,Cervix,Epithelial,Adult,L,48,2.0,MTT,TetrazoliumSalt,6.0,-36.5,72.693
1820,Ag,I,Sphere,,Chemical Reduction,Negative,RAW264.7,10000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,72,10.0,MTT,TetrazoliumSalt,43.9,-16.2,81.553
1488,ZnO,I,Sphere,,Commercial,Negative,Macrophages,400000.0,A,Mouse,Peritoneal Cavity,Macrophage,Adult,P,24,10.0,MTT,TetrazoliumSalt,50.0,-11.5,15.152
2101,EudragitRL,O,Sphere,,Emulsion-Solvent Evaporation ,Positive,NR8383,5000.0,A,Rat,Lung,Macrophage,Adult,L,24,25.0,MTT,TetrazoliumSalt,142.0,56.0,105.12
1120,Ag,I,Sphere,Citrate-Lactose,Chemical Reduction,Negative,A549,3000.0,H,Human,Lung,Epithelial,Adult,L,72,25.0,MTS,TetrazoliumSalt,50.0,-31.0,66.838
2098,Pt,I,Sphere,PVP,Chemical Reduction,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,57.109
1790,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,NRU,NeutralRed,29.57,-33.33,29.167
961,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,3000.0,MTT,TetrazoliumSalt,230.0,32.0,74.151
782,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,24,80.0,MTS,TetrazoliumSalt,21.0,-27.8,118.15
1739,TiO2,I,Sphere,,Commercial,Negative,Caco-2,30000.0,H,Human,Colon,Epithelial,Adult,L,48,30.0,MTT,TetrazoliumSalt,81.8,-8.6,46.833
1300,SiO2,I,Sphere,,Commercial,Negative,L-132,1000000.0,H,Human,Lung,Epithelial,Embryonic,L,24,400.0,MTT,TetrazoliumSalt,19.1,-36.74,35.275
1837,TiO2,I,Irregular,,Commercial,Negative,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.08,MTT,TetrazoliumSalt,50.0,-17.6,99.883
1135,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,5000.0,MTT,TetrazoliumSalt,230.0,-5.0,80.143
580,C70,C,Sphere,,Commercial,Negative,V79,10000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,5.0,MTT,TetrazoliumSalt,8.0,-20.0,80.998
2403,CeO2,I,Cubic,,Commercial,Negative,MCF-7,30000.0,H,Human,Breast,Epithelial,Adult,L,24,25.0,MTT,TetrazoliumSalt,25.0,-13.0,102.01
1835,MWCNT,C,Nanotube,,Commercial,Negative,NR8383,500000.0,A,Rat,Lung,Macrophage,Adult,L,4,200.0,AlamarBlue,AlamarBlue,217.2,-13.005,8.4648
693,IronOxide,I,Sphere,Silica-FA,Solvothermal Process,Negative,SKOV-3,100000.0,H,Human,Ovary,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,274.1,-27.7,85.786
1259,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,24,80.0,MTS,TetrazoliumSalt,25.0,-9.96,113.81
1889,CuO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,20.0,MTT,TetrazoliumSalt,46.3,42.8,14.426
1756,C60,C,Sphere,,Commercial,Negative,hPDLF,10000.0,H,Human,Teeth,Fibroblast,Adult,P,6,10.0,MTT,TetrazoliumSalt,34.64,-37.4,77.066
2000,SiO2,I,Sphere,COOH,Soft Templating Method,Negative,A2780,10000.0,H,Human,Ovary,Epithelial,Adult,L,96,50.0,MTT,TetrazoliumSalt,120.0,-28.7,90.15
820,CuO,I,Sphere,,Solvothermal Process,Negative,A549,1000.0,H,Human,Lung,Epithelial,Adult,L,24,5.0,MTT,TetrazoliumSalt,23.0,-25.0,81.514
577,IronOxide,I,Sphere,Dextran,Co-precipitation,Negative,Monocytes,150000.0,H,Human,Blood,Monocyte,Adult,P,48,50.0,CCK-8,TetrazoliumSalt,7.5,-11.0,234.63
53,IronOxide,I,Sphere,,Commercial,Negative,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,5.0,MTT,TetrazoliumSalt,42.5,-8.2,88.525
2197,SiO2,I,Sphere,,Soft Templating Method,Negative,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,96,500.0,MTT,TetrazoliumSalt,120.0,-5.21,83.333
1389,Polystyrene,O,Sphere,,Commercial,Negative,AGS,100000.0,H,Human,Stomach,Epithelial,Adult,L,24,2.0,MTT,TetrazoliumSalt,44.0,-35.87,100.0
2039,Polystyrene,O,Sphere,COOH,Commercial,Negative,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,100.0,-34.0,84.498
965,Au,I,Sphere,Citrate,Chemical Reduction,Negative,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,1.5,MTT,TetrazoliumSalt,14.5,-158.0,99.13
1451,IronOxide,I,Sphere,,Commercial,Negative,mDF,10000.0,A,Mouse,Skin,Fibroblast,Adult,P,48,100.0,MTT,TetrazoliumSalt,28.33,-18.4,63.478
230,Au,I,Sphere,,Commercial,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,L,96,20.0,MTS,TetrazoliumSalt,61.46,-32.66,82.284
893,TiO2,I,Sphere,,Commercial,Negative,Caco-2,30000.0,H,Human,Colon,Epithelial,Adult,L,48,60.0,MTT,TetrazoliumSalt,15.84,-43.29,15.11
1200,NiO,I,Sphere,,Commercial,Positive,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,24,10.0,NRU,NeutralRed,21.6,25.3,95.873
